תאריך,מספר בדיקות מצטבר,מספר חולים מאושפזים,מספר חולים מונשמים,מספר חולים מצטבר,מספר חולים קשה,מספר נפטרים מצטבר
26/02/2020 00:00:00,948,2,0,9,0,0
27/02/2020 00:00:00,"1,119",3,0,10,0,0
28/02/2020 00:00:00,"1,237",5,0,13,0,0
29/02/2020 00:00:00,"1,395",5,0,13,0,0
01/03/2020 00:00:00,"1,582",7,0,14,0,0
02/03/2020 00:00:00,"1,753",10,0,19,0,0
03/03/2020 00:00:00,"1,988",10,0,22,0,0
04/03/2020 00:00:00,"2,117",12,0,22,0,0
05/03/2020 00:00:00,"2,290",13,0,24,1,0
06/03/2020 00:00:00,"2,564",16,1,28,2,0
07/03/2020 00:00:00,"2,900",19,2,32,3,0
08/03/2020 00:00:00,"3,321",26,4,41,5,0
09/03/2020 00:00:00,"3,839",40,4,45,5,0
10/03/2020 00:00:00,"4,359",61,5,78,6,0
11/03/2020 00:00:00,"4,760",84,6,97,7,0
12/03/2020 00:00:00,"5,367",107,6,119,7,0
13/03/2020 00:00:00,"6,061",127,6,154,7,0
14/03/2020 00:00:00,"6,675",167,4,183,6,0
15/03/2020 00:00:00,"7,858",206,6,222,9,0
16/03/2020 00:00:00,"9,202",225,7,295,11,0
17/03/2020 00:00:00,"10,848",260,7,389,12,0
18/03/2020 00:00:00,"12,954",313,7,514,16,0
19/03/2020 00:00:00,"15,030",301,12,650,21,0
20/03/2020 00:00:00,"17,347",293,12,818,23,1
21/03/2020 00:00:00,"19,455",284,15,"1,028",27,1
22/03/2020 00:00:00,"22,681",333,22,"1,282",38,1
23/03/2020 00:00:00,"26,205",363,24,"1,634",44,1
24/03/2020 00:00:00,"30,872",408,26,"2,057",48,4
25/03/2020 00:00:00,"36,797",428,28,"2,482",52,5
26/03/2020 00:00:00,"43,254",484,31,"3,002",56,10
27/03/2020 00:00:00,"48,993",532,37,"3,436",66,12
28/03/2020 00:00:00,"54,731",528,41,"3,915",70,13
29/03/2020 00:00:00,"62,297",557,50,"4,446",80,16
30/03/2020 00:00:00,"69,397",634,54,"4,994",89,17
31/03/2020 00:00:00,"77,385",684,64,"5,732",98,21
01/04/2020 00:00:00,"86,393",773,72,"6,428",111,29
02/04/2020 00:00:00,"96,619",818,79,"7,147",113,38
03/04/2020 00:00:00,"106,948",815,93,"7,745",131,43
04/04/2020 00:00:00,"113,303",790,107,"8,174",140,49
05/04/2020 00:00:00,"122,697",826,107,"8,757",135,56
06/04/2020 00:00:00,"130,195",809,110,"9,207",147,64
07/04/2020 00:00:00,"137,162",750,106,"9,584",160,72
